date,vh,vv
2022-11-01/2022-12-01,0.0057007363,0.05456175
2022-11-01/2022-12-01,0.004291118,0.013895346
2022-11-01/2022-12-01,0.0053227097,0.03779885
2022-11-01/2022-12-01,0.005894536,0.044994026
2022-11-01/2022-12-01,0.010766201,0.10975453
2022-11-01/2022-12-01,0.0036821982,0.017007606
2022-11-01/2022-12-01,0.0069331974,0.038357597
2022-11-01/2022-12-01,0.0058499128,0.027558181
2022-11-01/2022-12-01,0.006493019,0.014025117
2022-11-01/2022-12-01,0.006599326,0.02300262
2022-11-01/2022-12-01,0.007827026,0.07283351
2022-11-01/2022-12-01,0.0058418442,0.058077127
2022-11-01/2022-12-01,0.0051416317,0.023011189
2022-11-01/2022-12-01,0.0056753173,0.016484594
2022-11-01/2022-12-01,0.005870961,0.026369907
2022-11-01/2022-12-01,0.008560175,0.049268052
2022-11-01/2022-12-01,0.0076288255,0.06280759
2022-11-01/2022-12-01,0.0057989084,0.013371112
2022-11-01/2022-12-01,0.0051435633,0.06553714
2022-11-01/2022-12-01,0.014391737,0.121534005
2022-11-01/2022-12-01,0.0051364927,0.018485632
2022-11-01/2022-12-01,0.005133303,0.06558617
2022-11-01/2022-12-01,0.0062994733,0.035914503
2022-11-01/2022-12-01,0.00549566,0.02843953
2022-11-01/2022-12-01,0.0052636173,0.015316924
2022-11-01/2022-12-01,0.0072659818,0.050293937
2022-11-01/2022-12-01,0.0041510453,0.008438276
2022-11-01/2022-12-01,0.0047663637,0.018276734
2022-11-01/2022-12-01,0.0056293886,0.043411493
2022-11-01/2022-12-01,0.008718898,0.022380114
2022-11-01/2022-12-01,0.011345348,0.09499514
2022-11-01/2022-12-01,0.0063462504,0.022446824
2022-11-01/2022-12-01,0.01376172,0.056151867
2022-11-01/2022-12-01,0.0076700714,0.032864176
2022-11-01/2022-12-01,0.0039868494,0.009023228
2022-11-01/2022-12-01,0.004171568,0.017704953
2022-11-01/2022-12-01,0.008467186,0.038695186
2022-11-01/2022-12-01,0.008435624,0.039795198
2022-11-01/2022-12-01,0.011859994,0.07290687
2022-11-01/2022-12-01,0.011853366,0.10986537
2022-11-01/2022-12-01,0.010742642,0.11283523
2022-11-01/2022-12-01,0.007985558,0.03867861
2022-11-01/2022-12-01,0.0045200023,0.016344864
2022-11-01/2022-12-01,0.010786995,0.093093164
2022-11-01/2022-12-01,0.012212664,0.080539495
2022-11-01/2022-12-01,0.008529335,0.044917792
2022-11-01/2022-12-01,0.009438507,0.051192686
2022-11-01/2022-12-01,0.0054870737,0.017122671
2022-11-01/2022-12-01,0.008422121,0.09554745
2022-11-01/2022-12-01,0.006679315,0.017384922
2022-11-01/2022-12-01,0.0062655467,0.04512468
2022-11-01/2022-12-01,0.0065276446,0.028074838
2022-11-01/2022-12-01,0.004378225,0.013142435
2022-11-01/2022-12-01,0.012543675,0.081279546
2022-11-01/2022-12-01,0.00822383,0.037085287
